"focalID","year_month","sampled_day"
"Pom",2022-07-01,2022-07-03
"Pom",2022-07-01,2022-07-10
"Pom",2022-07-01,2022-07-14
"Pom",2022-07-01,2022-07-15
"Pom",2022-07-01,2022-07-18
"Pom",2022-07-01,2022-07-19
"Pom",2022-07-01,2022-07-31
"Pom",2022-09-01,2022-09-03
"Pom",2022-09-01,2022-09-08
"Pom",2022-09-01,2022-09-09
"Pom",2022-09-01,2022-09-19
"Pom",2022-09-01,2022-09-25
"Pom",2022-09-01,2022-09-27
"Pom",2022-09-01,2022-09-28
"Pom",2023-06-01,2023-06-05
"Pom",2023-06-01,2023-06-11
"Pom",2023-06-01,2023-06-14
"Pom",2023-06-01,2023-06-20
"Pom",2023-06-01,2023-06-22
"Pom",2023-06-01,2023-06-28
"Pom",2023-06-01,2023-06-30
"Pro",2022-07-01,2022-07-03
"Pro",2022-07-01,2022-07-10
"Pro",2022-07-01,2022-07-14
"Pro",2022-07-01,2022-07-15
"Pro",2022-07-01,2022-07-18
"Pro",2022-07-01,2022-07-19
"Pro",2022-07-01,2022-07-31
"Pro",2022-09-01,2022-09-03
"Pro",2022-09-01,2022-09-08
"Pro",2022-09-01,2022-09-09
"Pro",2022-09-01,2022-09-19
"Pro",2022-09-01,2022-09-25
"Pro",2022-09-01,2022-09-27
"Pro",2022-09-01,2022-09-28
"Pro",2023-06-01,2023-06-05
"Pro",2023-06-01,2023-06-11
"Pro",2023-06-01,2023-06-14
"Pro",2023-06-01,2023-06-20
"Pro",2023-06-01,2023-06-22
"Pro",2023-06-01,2023-06-28
"Pro",2023-06-01,2023-06-30
"Rat",2022-07-01,2022-07-03
"Rat",2022-07-01,2022-07-10
"Rat",2022-07-01,2022-07-14
"Rat",2022-07-01,2022-07-15
"Rat",2022-07-01,2022-07-18
"Rat",2022-07-01,2022-07-19
"Rat",2022-07-01,2022-07-31
"Rat",2022-09-01,2022-09-03
"Rat",2022-09-01,2022-09-08
"Rat",2022-09-01,2022-09-09
"Rat",2022-09-01,2022-09-19
"Rat",2022-09-01,2022-09-25
"Rat",2022-09-01,2022-09-27
"Rat",2022-09-01,2022-09-28
"Rat",2023-06-01,2023-06-05
"Rat",2023-06-01,2023-06-11
"Rat",2023-06-01,2023-06-14
"Rat",2023-06-01,2023-06-20
"Rat",2023-06-01,2023-06-22
"Rat",2023-06-01,2023-06-28
"Rat",2023-06-01,2023-06-30
"Sey",2022-07-01,2022-07-03
"Sey",2022-07-01,2022-07-10
"Sey",2022-07-01,2022-07-14
"Sey",2022-07-01,2022-07-15
"Sey",2022-07-01,2022-07-18
"Sey",2022-07-01,2022-07-19
"Sey",2022-07-01,2022-07-31
"Sey",2022-09-01,2022-09-03
"Sey",2022-09-01,2022-09-08
"Sey",2022-09-01,2022-09-09
"Sey",2022-09-01,2022-09-19
"Sey",2022-09-01,2022-09-25
"Sey",2022-09-01,2022-09-27
"Sey",2022-09-01,2022-09-28
"Sey",2023-06-01,2023-06-05
"Sey",2023-06-01,2023-06-11
"Sey",2023-06-01,2023-06-14
"Sey",2023-06-01,2023-06-20
"Sey",2023-06-01,2023-06-22
"Sey",2023-06-01,2023-06-28
"Sey",2023-06-01,2023-06-30
"Sho",2022-07-01,2022-07-03
"Sho",2022-07-01,2022-07-10
"Sho",2022-07-01,2022-07-14
"Sho",2022-07-01,2022-07-15
"Sho",2022-07-01,2022-07-18
"Sho",2022-07-01,2022-07-19
"Sho",2022-07-01,2022-07-31
"Sho",2022-09-01,2022-09-03
"Sho",2022-09-01,2022-09-08
"Sho",2022-09-01,2022-09-09
"Sho",2022-09-01,2022-09-19
"Sho",2022-09-01,2022-09-25
"Sho",2022-09-01,2022-09-27
"Sho",2022-09-01,2022-09-28
"Sho",2023-06-01,2023-06-05
"Sho",2023-06-01,2023-06-11
"Sho",2023-06-01,2023-06-14
"Sho",2023-06-01,2023-06-20
"Sho",2023-06-01,2023-06-22
"Sho",2023-06-01,2023-06-28
"Sho",2023-06-01,2023-06-30
"Tam",2022-07-01,2022-07-03
"Tam",2022-07-01,2022-07-10
"Tam",2022-07-01,2022-07-14
"Tam",2022-07-01,2022-07-15
"Tam",2022-07-01,2022-07-18
"Tam",2022-07-01,2022-07-19
"Tam",2022-07-01,2022-07-31
"Tam",2022-09-01,2022-09-03
"Tam",2022-09-01,2022-09-08
"Tam",2022-09-01,2022-09-09
"Tam",2022-09-01,2022-09-19
"Tam",2022-09-01,2022-09-25
"Tam",2022-09-01,2022-09-27
"Tam",2022-09-01,2022-09-28
"Tch",2022-07-01,2022-07-03
"Tch",2022-07-01,2022-07-10
"Tch",2022-07-01,2022-07-14
"Tch",2022-07-01,2022-07-15
"Tch",2022-07-01,2022-07-18
"Tch",2022-07-01,2022-07-19
"Tch",2022-07-01,2022-07-31
"Tch",2022-09-01,2022-09-03
"Tch",2022-09-01,2022-09-08
"Tch",2022-09-01,2022-09-09
"Tch",2022-09-01,2022-09-19
"Tch",2022-09-01,2022-09-25
"Tch",2022-09-01,2022-09-27
"Tch",2022-09-01,2022-09-28
"Umb",2022-07-01,2022-07-03
"Umb",2022-07-01,2022-07-10
"Umb",2022-07-01,2022-07-14
"Umb",2022-07-01,2022-07-15
"Umb",2022-07-01,2022-07-18
"Umb",2022-07-01,2022-07-19
"Umb",2022-07-01,2022-07-31
"Umb",2022-09-01,2022-09-03
"Umb",2022-09-01,2022-09-08
"Umb",2022-09-01,2022-09-09
"Umb",2022-09-01,2022-09-19
"Umb",2022-09-01,2022-09-25
"Umb",2022-09-01,2022-09-27
"Umb",2022-09-01,2022-09-28
"Umb",2023-06-01,2023-06-05
"Umb",2023-06-01,2023-06-11
"Umb",2023-06-01,2023-06-14
"Umb",2023-06-01,2023-06-20
"Umb",2023-06-01,2023-06-22
"Umb",2023-06-01,2023-06-28
"Umb",2023-06-01,2023-06-30
"Vla",2022-07-01,2022-07-03
"Vla",2022-07-01,2022-07-10
"Vla",2022-07-01,2022-07-14
"Vla",2022-07-01,2022-07-15
"Vla",2022-07-01,2022-07-18
"Vla",2022-07-01,2022-07-19
"Vla",2022-07-01,2022-07-31
"Vla",2022-09-01,2022-09-03
"Vla",2022-09-01,2022-09-08
"Vla",2022-09-01,2022-09-09
"Vla",2022-09-01,2022-09-19
"Vla",2022-09-01,2022-09-25
"Vla",2022-09-01,2022-09-27
"Vla",2022-09-01,2022-09-28
"Vry",2022-09-01,2022-09-03
"Vry",2022-09-01,2022-09-08
"Vry",2022-09-01,2022-09-09
"Vry",2022-09-01,2022-09-19
"Vry",2022-09-01,2022-09-25
"Vry",2022-09-01,2022-09-27
"Vry",2022-09-01,2022-09-28
"Vry",2023-06-01,2023-06-05
"Vry",2023-06-01,2023-06-11
"Vry",2023-06-01,2023-06-14
"Vry",2023-06-01,2023-06-20
"Vry",2023-06-01,2023-06-22
"Vry",2023-06-01,2023-06-28
"Vry",2023-06-01,2023-06-30
"Vul",2022-07-01,2022-07-03
"Vul",2022-07-01,2022-07-10
"Vul",2022-07-01,2022-07-14
"Vul",2022-07-01,2022-07-15
"Vul",2022-07-01,2022-07-18
"Vul",2022-07-01,2022-07-19
"Vul",2022-07-01,2022-07-31
"Vul",2022-09-01,2022-09-03
"Vul",2022-09-01,2022-09-08
"Vul",2022-09-01,2022-09-09
"Vul",2022-09-01,2022-09-19
"Vul",2022-09-01,2022-09-25
"Vul",2022-09-01,2022-09-27
"Vul",2022-09-01,2022-09-28
"Vul",2023-06-01,2023-06-05
"Vul",2023-06-01,2023-06-11
"Vul",2023-06-01,2023-06-14
"Vul",2023-06-01,2023-06-20
"Vul",2023-06-01,2023-06-22
"Vul",2023-06-01,2023-06-28
"Vul",2023-06-01,2023-06-30
"War",2022-07-01,2022-07-03
"War",2022-07-01,2022-07-10
"War",2022-07-01,2022-07-14
"War",2022-07-01,2022-07-15
"War",2022-07-01,2022-07-18
"War",2022-07-01,2022-07-19
"War",2022-07-01,2022-07-31
"War",2022-09-01,2022-09-03
"War",2022-09-01,2022-09-08
"War",2022-09-01,2022-09-09
"War",2022-09-01,2022-09-19
"War",2022-09-01,2022-09-25
"War",2022-09-01,2022-09-27
"War",2022-09-01,2022-09-28
"War",2023-06-01,2023-06-05
"War",2023-06-01,2023-06-11
"War",2023-06-01,2023-06-14
"War",2023-06-01,2023-06-20
"War",2023-06-01,2023-06-22
"War",2023-06-01,2023-06-28
"War",2023-06-01,2023-06-30
"Xia",2022-09-01,2022-09-03
"Xia",2022-09-01,2022-09-08
"Xia",2022-09-01,2022-09-09
"Xia",2022-09-01,2022-09-19
"Xia",2022-09-01,2022-09-25
"Xia",2022-09-01,2022-09-27
"Xia",2022-09-01,2022-09-28
"Xia",2023-06-01,2023-06-05
"Xia",2023-06-01,2023-06-11
"Xia",2023-06-01,2023-06-14
"Xia",2023-06-01,2023-06-20
"Xia",2023-06-01,2023-06-22
"Xia",2023-06-01,2023-06-28
"Xia",2023-06-01,2023-06-30
"Xian",2022-07-01,2022-07-03
"Xian",2022-07-01,2022-07-10
"Xian",2022-07-01,2022-07-14
"Xian",2022-07-01,2022-07-15
"Xian",2022-07-01,2022-07-18
"Xian",2022-07-01,2022-07-19
"Xian",2022-07-01,2022-07-31
"Xian",2022-09-01,2022-09-03
"Xian",2022-09-01,2022-09-08
"Xian",2022-09-01,2022-09-09
"Xian",2022-09-01,2022-09-19
"Xian",2022-09-01,2022-09-25
"Xian",2022-09-01,2022-09-27
"Xian",2022-09-01,2022-09-28
"Xian",2023-06-01,2023-06-05
"Xian",2023-06-01,2023-06-11
"Xian",2023-06-01,2023-06-14
"Xian",2023-06-01,2023-06-20
"Xian",2023-06-01,2023-06-22
"Xian",2023-06-01,2023-06-28
"Xian",2023-06-01,2023-06-30
"Xin",2022-07-01,2022-07-03
"Xin",2022-07-01,2022-07-10
"Xin",2022-07-01,2022-07-14
"Xin",2022-07-01,2022-07-15
"Xin",2022-07-01,2022-07-18
"Xin",2022-07-01,2022-07-19
"Xin",2022-07-01,2022-07-31
"Xin",2022-09-01,2022-09-03
"Xin",2022-09-01,2022-09-08
"Xin",2022-09-01,2022-09-09
"Xin",2022-09-01,2022-09-19
"Xin",2022-09-01,2022-09-25
"Xin",2022-09-01,2022-09-27
"Xin",2022-09-01,2022-09-28
"Xin",2023-06-01,2023-06-05
"Xin",2023-06-01,2023-06-11
"Xin",2023-06-01,2023-06-14
"Xin",2023-06-01,2023-06-20
"Xin",2023-06-01,2023-06-22
"Xin",2023-06-01,2023-06-28
"Xin",2023-06-01,2023-06-30
"Xiu",2022-07-01,2022-07-03
"Xiu",2022-07-01,2022-07-10
"Xiu",2022-07-01,2022-07-14
"Xiu",2022-07-01,2022-07-15
"Xiu",2022-07-01,2022-07-18
"Xiu",2022-07-01,2022-07-19
"Xiu",2022-07-01,2022-07-31
"Xiu",2023-06-01,2023-06-05
"Xiu",2023-06-01,2023-06-11
"Xiu",2023-06-01,2023-06-14
"Xiu",2023-06-01,2023-06-20
"Xiu",2023-06-01,2023-06-22
"Xiu",2023-06-01,2023-06-28
"Xiu",2023-06-01,2023-06-30
"Yamu",2022-07-01,2022-07-03
"Yamu",2022-07-01,2022-07-10
"Yamu",2022-07-01,2022-07-14
"Yamu",2022-07-01,2022-07-15
"Yamu",2022-07-01,2022-07-18
"Yamu",2022-07-01,2022-07-19
"Yamu",2022-07-01,2022-07-31
"Yamu",2022-09-01,2022-09-03
"Yamu",2022-09-01,2022-09-08
"Yamu",2022-09-01,2022-09-09
"Yamu",2022-09-01,2022-09-19
"Yamu",2022-09-01,2022-09-25
"Yamu",2022-09-01,2022-09-27
"Yamu",2022-09-01,2022-09-28
"Yamu",2023-06-01,2023-06-05
"Yamu",2023-06-01,2023-06-11
"Yamu",2023-06-01,2023-06-14
"Yamu",2023-06-01,2023-06-20
"Yamu",2023-06-01,2023-06-22
"Yamu",2023-06-01,2023-06-28
"Yamu",2023-06-01,2023-06-30
"Zeu",2023-06-01,2023-06-05
"Zeu",2023-06-01,2023-06-11
"Zeu",2023-06-01,2023-06-14
"Zeu",2023-06-01,2023-06-20
"Zeu",2023-06-01,2023-06-22
"Zeu",2023-06-01,2023-06-28
"Zeu",2023-06-01,2023-06-30
