burst,Ind_ID,new_burst,attribution_merged,activity,id,split
burst_1,Aarhus,312527,Resting,Inactive,Aarhus_312527,train
burst_1,Aarhus,312528,Walking,Active,Aarhus_312528,train
burst_1,Furry Glen,66836,Grooming receiver,Inactive,Furry Glen_66836,train
burst_1,Furry Glen,66837,Grooming receiver,Inactive,Furry Glen_66837,train
burst_1,Furry Glen,66838,Grooming actor,Active,Furry Glen_66838,test
burst_1,Furry Glen,66839,Grooming actor,Active,Furry Glen_66839,train
burst_1,Furry Glen,66840,Grooming actor,Active,Furry Glen_66840,train
burst_1,Furry Glen,66841,Grooming actor,Active,Furry Glen_66841,train
burst_1,Furry Glen,66842,Resting,Inactive,Furry Glen_66842,train
burst_1,Furry Glen,66843,Resting,Inactive,Furry Glen_66843,train
burst_1,Furry Glen,66844,Resting,Inactive,Furry Glen_66844,test
burst_1,Furry Glen,66845,Resting,Inactive,Furry Glen_66845,test
burst_1,Furry Glen,66846,Grooming actor,Active,Furry Glen_66846,train
burst_1,Furry Glen,66847,Grooming receiver,Inactive,Furry Glen_66847,train
burst_1,Furry Glen,66848,Grooming receiver,Inactive,Furry Glen_66848,train
burst_1,Furry Glen,66849,Resting,Inactive,Furry Glen_66849,train
burst_1,Furry Glen,66850,Resting,Inactive,Furry Glen_66850,train
burst_1,Furry Glen,66851,Resting,Inactive,Furry Glen_66851,train
burst_1,Furry Glen,66852,Resting,Inactive,Furry Glen_66852,test
burst_1,Furry Glen,66853,Remove,Remove,Furry Glen_66853,train
burst_1,Furry Glen,66854,Resting,Inactive,Furry Glen_66854,train
burst_1,Furry Glen,73627,Remove,Remove,Furry Glen_73627,train
burst_1,Furry Glen,73628,Remove,Remove,Furry Glen_73628,train
burst_1,Furry Glen,73629,Resting,Inactive,Furry Glen_73629,train
burst_1,Furry Glen,73630,Resting,Inactive,Furry Glen_73630,test
burst_1,Furry Glen,73631,Grooming actor,Active,Furry Glen_73631,train
burst_1,Furry Glen,75535,Grooming receiver,Inactive,Furry Glen_75535,train
burst_1,Furry Glen,76546,Remove,Remove,Furry Glen_76546,test
burst_1,Furry Glen,76549,Sleeping,Inactive,Furry Glen_76549,test
burst_1,Furry Glen,76555,Grooming actor,Active,Furry Glen_76555,train
burst_1,Furry Glen,76556,Grooming actor,Active,Furry Glen_76556,test
burst_1,Furry Glen,76557,Resting,Inactive,Furry Glen_76557,train
burst_1,Furry Glen,76559,Grooming actor,Active,Furry Glen_76559,train
burst_1,Furry Glen,81335,Sleeping,Inactive,Furry Glen_81335,train
burst_1,Furry Glen,81336,Sleeping,Inactive,Furry Glen_81336,train
burst_1,Furry Glen,81337,Sleeping,Inactive,Furry Glen_81337,train
burst_1,Furry Glen,81338,Sleeping,Inactive,Furry Glen_81338,train
burst_1,Furry Glen,81411,Grooming receiver,Inactive,Furry Glen_81411,train
burst_1,Furry Glen,91974,Eating,Active,Furry Glen_91974,train
burst_1,Furry Glen,91975,Eating,Active,Furry Glen_91975,test
burst_1,Furry Glen,91976,Walking,Active,Furry Glen_91976,train
burst_1,Furry Glen,91977,Eating,Active,Furry Glen_91977,test
burst_1,Furry Glen,92042,Remove,Remove,Furry Glen_92042,train
burst_1,Furry Glen,92043,Walking,Active,Furry Glen_92043,train
burst_1,Furry Glen,96704,Resting,Inactive,Furry Glen_96704,train
burst_1,Furry Glen,96705,Resting,Inactive,Furry Glen_96705,train
burst_1,Furry Glen,96706,Resting,Inactive,Furry Glen_96706,train
burst_1,Furry Glen,96707,Resting,Inactive,Furry Glen_96707,train
burst_1,Furry Glen,96708,Remove,Remove,Furry Glen_96708,train
burst_1,Furry Glen,96709,Walking,Active,Furry Glen_96709,train
burst_1,Furry Glen,96710,Eating,Active,Furry Glen_96710,train
burst_1,Furry Glen,301016,Grooming receiver,Inactive,Furry Glen_301016,train
burst_1,Furry Glen,301017,Grooming receiver,Inactive,Furry Glen_301017,train
burst_1,Furry Glen,301018,Grooming actor,Active,Furry Glen_301018,train
burst_1,Furry Glen,301019,Grooming actor,Active,Furry Glen_301019,train
burst_1,Furry Glen,301020,Grooming actor,Active,Furry Glen_301020,test
burst_1,Furry Glen,301021,Grooming receiver,Inactive,Furry Glen_301021,test
burst_1,Furry Glen,301022,Grooming receiver,Inactive,Furry Glen_301022,test
burst_1,Furry Glen,301023,Grooming actor,Active,Furry Glen_301023,train
burst_1,Furry Glen,301024,Grooming actor,Active,Furry Glen_301024,train
burst_1,Furry Glen,301025,Grooming receiver,Inactive,Furry Glen_301025,train
burst_1,Furry Glen,301026,Grooming receiver,Inactive,Furry Glen_301026,train
burst_1,Furry Glen,301027,Grooming actor,Active,Furry Glen_301027,test
burst_1,Furry Glen,301028,Grooming actor,Active,Furry Glen_301028,test
burst_1,Furry Glen,301030,Grooming actor,Active,Furry Glen_301030,train
burst_1,Furry Glen,301031,Grooming receiver,Inactive,Furry Glen_301031,train
burst_1,Furry Glen,301032,Grooming receiver,Inactive,Furry Glen_301032,train
burst_1,Furry Glen,301033,Grooming actor,Active,Furry Glen_301033,train
burst_1,Furry Glen,301034,Grooming actor,Active,Furry Glen_301034,test
burst_1,Furry Glen,301035,Remove,Remove,Furry Glen_301035,test
burst_1,Furry Glen,301734,Eating,Active,Furry Glen_301734,train
burst_1,Furry Glen,301735,Eating,Active,Furry Glen_301735,train
burst_1,Furry Glen,301736,Eating,Active,Furry Glen_301736,train
burst_1,Furry Glen,301737,Eating,Active,Furry Glen_301737,train
burst_1,Furry Glen,301738,Eating,Active,Furry Glen_301738,test
burst_1,Furry Glen,301739,Eating,Active,Furry Glen_301739,test
burst_1,Furry Glen,301740,Eating,Active,Furry Glen_301740,train
burst_1,Furry Glen,301741,Eating,Active,Furry Glen_301741,train
burst_1,Furry Glen,301742,Eating,Active,Furry Glen_301742,train
burst_1,Furry Glen,301743,Eating,Active,Furry Glen_301743,train
burst_1,Furry Glen,301744,Eating,Active,Furry Glen_301744,train
burst_1,Furry Glen,301745,Eating,Active,Furry Glen_301745,train
burst_1,Furry Glen,301746,Eating,Active,Furry Glen_301746,train
burst_1,Furry Glen,301747,Eating,Active,Furry Glen_301747,train
burst_1,Furry Glen,301748,Eating,Active,Furry Glen_301748,train
burst_1,Furry Glen,301749,Resting,Inactive,Furry Glen_301749,train
burst_1,Furry Glen,301750,Walking,Active,Furry Glen_301750,train
burst_1,Furry Glen,301751,Resting,Inactive,Furry Glen_301751,train
burst_1,Furry Glen,301752,Resting,Inactive,Furry Glen_301752,test
burst_1,Furry Glen,301753,Remove,Remove,Furry Glen_301753,train
burst_1,Furry Glen,301754,Resting,Inactive,Furry Glen_301754,train
burst_1,Furry Glen,301888,Eating,Active,Furry Glen_301888,train
burst_1,Furry Glen,301889,Resting,Inactive,Furry Glen_301889,test
burst_1,Furry Glen,301890,Resting,Inactive,Furry Glen_301890,train
burst_1,Furry Glen,301891,Resting,Inactive,Furry Glen_301891,test
burst_1,Furry Glen,377535,Grooming receiver,Inactive,Furry Glen_377535,test
burst_1,Furry Glen,377536,Self-scratching,Active,Furry Glen_377536,train
burst_1,Furry Glen,377537,Walking,Active,Furry Glen_377537,train
burst_1,Furry Glen,377538,Resting,Inactive,Furry Glen_377538,test
burst_1,Furry Glen,377539,Resting,Inactive,Furry Glen_377539,train
burst_1,Furry Glen,377540,Resting,Inactive,Furry Glen_377540,train
burst_1,Furry Glen,377541,Resting,Inactive,Furry Glen_377541,train
burst_1,Furry Glen,377542,Resting,Inactive,Furry Glen_377542,train
burst_1,Furry Glen,377543,Resting,Inactive,Furry Glen_377543,train
burst_1,Furry Glen,377544,Resting,Inactive,Furry Glen_377544,train
burst_1,Furry Glen,377545,Resting,Inactive,Furry Glen_377545,train
burst_1,Furry Glen,377546,Resting,Inactive,Furry Glen_377546,train
burst_1,Furry Glen,377547,Resting,Inactive,Furry Glen_377547,test
burst_1,Furry Glen,377548,Resting,Inactive,Furry Glen_377548,train
burst_1,Furry Glen,377549,Resting,Inactive,Furry Glen_377549,test
burst_1,Furry Glen,377550,Resting,Inactive,Furry Glen_377550,train
burst_1,Furry Glen,377551,Resting,Inactive,Furry Glen_377551,train
burst_1,Heelal,94011,Resting,Inactive,Heelal_94011,train
burst_1,Heelal,158363,Sleeping,Inactive,Heelal_158363,train
burst_1,Heelal,158364,Sleeping,Inactive,Heelal_158364,train
burst_1,Heelal,158365,Resting,Inactive,Heelal_158365,train
burst_1,Heelal,158366,Resting,Inactive,Heelal_158366,test
burst_1,Heelal,158367,Sleeping,Inactive,Heelal_158367,test
burst_1,Heelal,158368,Resting,Inactive,Heelal_158368,train
burst_1,Kommunis,214587,Walking,Active,Kommunis_214587,test
burst_1,Kommunis,214588,Eating,Active,Kommunis_214588,train
burst_1,Kommunis,214589,Eating,Active,Kommunis_214589,train
burst_1,Kommunis,214590,Resting,Inactive,Kommunis_214590,train
burst_1,Kommunis,214591,Resting,Inactive,Kommunis_214591,train
burst_1,Kommunis,214592,Resting,Inactive,Kommunis_214592,train
burst_1,Kommunis,214593,Eating,Active,Kommunis_214593,test
burst_1,Kommunis,214594,Eating,Active,Kommunis_214594,train
burst_1,Kommunis,214603,Eating,Active,Kommunis_214603,train
burst_1,Kommunis,214604,Eating,Active,Kommunis_214604,train
burst_1,Kommunis,214605,Eating,Active,Kommunis_214605,train
burst_1,Kommunis,214606,Eating,Active,Kommunis_214606,train
burst_1,Kommunis,214607,Resting,Inactive,Kommunis_214607,train
burst_1,Kommunis,306760,Resting,Inactive,Kommunis_306760,test
burst_1,Kommunis,306761,Resting,Inactive,Kommunis_306761,train
burst_1,Kommunis,306762,Eating,Active,Kommunis_306762,test
burst_1,Kommunis,306763,Resting,Inactive,Kommunis_306763,test
burst_1,Kommunis,306764,Remove,Remove,Kommunis_306764,train
burst_1,Kommunis,306765,Remove,Remove,Kommunis_306765,train
burst_1,Kommunis,306766,Remove,Remove,Kommunis_306766,train
burst_1,Kommunis,306767,Eating,Active,Kommunis_306767,train
burst_1,Kommunis,306768,Eating,Active,Kommunis_306768,train
burst_1,Kommunis,306769,Eating,Active,Kommunis_306769,test
burst_1,Kommunis,306770,Remove,Remove,Kommunis_306770,test
burst_1,Kommunis,306771,Remove,Remove,Kommunis_306771,train
burst_1,Kommunis,306772,Remove,Remove,Kommunis_306772,train
burst_1,Kommunis,306773,Remove,Remove,Kommunis_306773,test
burst_1,Mieles,289538,Grooming receiver,Inactive,Mieles_289538,train
burst_1,Mieles,289539,Grooming actor,Active,Mieles_289539,train
burst_1,Mieles,289540,Remove,Remove,Mieles_289540,train
burst_1,Mieles,289541,Remove,Remove,Mieles_289541,train
burst_1,Mieles,289542,Remove,Remove,Mieles_289542,train
burst_1,Mieles,289543,Remove,Remove,Mieles_289543,train
burst_1,Mieles,289544,Remove,Remove,Mieles_289544,train
burst_1,Mieles,289545,Grooming actor,Active,Mieles_289545,train
burst_1,Mieles,297102,Eating,Active,Mieles_297102,train
burst_1,Mieles,299142,Grooming actor,Active,Mieles_299142,train
burst_1,Mieles,299143,Grooming receiver,Inactive,Mieles_299143,train
burst_1,Mieles,299144,Grooming receiver,Inactive,Mieles_299144,train
burst_1,Mieles,299145,Remove,Remove,Mieles_299145,train
burst_1,Mieles,299146,Remove,Remove,Mieles_299146,test
burst_1,Mieles,299147,Resting,Inactive,Mieles_299147,train
burst_1,Mieles,299148,Remove,Remove,Mieles_299148,test
burst_1,Mieles,299149,Grooming receiver,Inactive,Mieles_299149,train
burst_1,Mieles,299150,Grooming receiver,Inactive,Mieles_299150,train
burst_1,Mieles,299151,Grooming actor,Active,Mieles_299151,train
burst_1,Mieles,299152,Grooming actor,Active,Mieles_299152,train
burst_1,Mieles,299153,Grooming receiver,Inactive,Mieles_299153,train
burst_1,Mieles,299154,Grooming receiver,Inactive,Mieles_299154,train
burst_1,Mieles,299155,Grooming receiver,Inactive,Mieles_299155,test
burst_1,Mieles,299156,Grooming receiver,Inactive,Mieles_299156,train
burst_1,Mieles,299157,Grooming receiver,Inactive,Mieles_299157,test
burst_1,Mieles,299158,Grooming actor,Active,Mieles_299158,train
burst_1,Mieles,299159,Grooming actor,Active,Mieles_299159,train
burst_1,Mieles,299160,Grooming actor,Active,Mieles_299160,train
burst_1,Mieles,300110,Grooming actor,Active,Mieles_300110,train
burst_1,Mieles,300111,Grooming actor,Active,Mieles_300111,train
burst_1,Mieles,300112,Grooming actor,Active,Mieles_300112,train
burst_1,Mieles,300113,Grooming receiver,Inactive,Mieles_300113,train
burst_1,Mieles,300114,Grooming actor,Active,Mieles_300114,test
burst_1,Mieles,300115,Grooming receiver,Inactive,Mieles_300115,test
burst_1,Mieles,300116,Grooming receiver,Inactive,Mieles_300116,train
burst_1,Mieles,300117,Grooming receiver,Inactive,Mieles_300117,train
burst_1,Mieles,300118,Remove,Remove,Mieles_300118,train
burst_1,Mieles,300119,Remove,Remove,Mieles_300119,train
burst_1,Mieles,300120,Remove,Remove,Mieles_300120,test
burst_1,Mieles,300121,Remove,Remove,Mieles_300121,train
burst_1,Mieles,300122,Remove,Remove,Mieles_300122,train
burst_1,Mieles,300123,Remove,Remove,Mieles_300123,train
burst_1,Mieles,300124,Grooming actor,Active,Mieles_300124,test
burst_1,Mieles,300125,Grooming actor,Active,Mieles_300125,test
burst_1,Mieles,300126,Grooming actor,Active,Mieles_300126,train
burst_1,Mieles,300127,Resting,Inactive,Mieles_300127,train
burst_1,Mieles,300128,Grooming actor,Active,Mieles_300128,test
burst_1,Mieles,300129,Grooming actor,Active,Mieles_300129,train
burst_1,Mieles,300130,Remove,Remove,Mieles_300130,test
burst_1,Mieles,300131,Grooming receiver,Inactive,Mieles_300131,train
burst_1,Mieles,300132,Resting,Inactive,Mieles_300132,train
burst_1,Mieles,300133,Remove,Remove,Mieles_300133,train
burst_1,Mieles,300134,Remove,Remove,Mieles_300134,train
burst_1,Mieles,300135,Remove,Remove,Mieles_300135,train
burst_1,Mieles,300136,Remove,Remove,Mieles_300136,train
burst_1,Mieles,300137,Remove,Remove,Mieles_300137,test
burst_1,Mieles,300138,Grooming actor,Active,Mieles_300138,train
burst_1,Mieles,300139,Grooming receiver,Inactive,Mieles_300139,train
burst_1,Mieles,300140,Grooming receiver,Inactive,Mieles_300140,test
burst_1,Mieles,300141,Grooming receiver,Inactive,Mieles_300141,train
burst_1,Mieles,305022,Grooming actor,Active,Mieles_305022,train
burst_1,Mieles,305023,Grooming actor,Active,Mieles_305023,test
burst_1,Mieles,305024,Grooming actor,Active,Mieles_305024,train
burst_1,Mieles,305025,Grooming actor,Active,Mieles_305025,train
burst_1,Mieles,305026,Resting,Inactive,Mieles_305026,train
burst_1,Mieles,305027,Resting,Inactive,Mieles_305027,test
burst_1,Mieles,305028,Grooming actor,Active,Mieles_305028,train
burst_1,Mieles,305029,Grooming actor,Active,Mieles_305029,test
burst_1,Mieles,305030,Grooming actor,Active,Mieles_305030,train
burst_1,Mieles,305031,Resting,Inactive,Mieles_305031,test
burst_1,Mieles,305032,Grooming receiver,Inactive,Mieles_305032,test
burst_1,Mieles,305033,Eating,Active,Mieles_305033,train
burst_1,Mieles,305034,Eating,Active,Mieles_305034,train
burst_1,Mieles,305035,Resting,Inactive,Mieles_305035,train
burst_1,Mieles,305036,Remove,Remove,Mieles_305036,test
burst_1,Mieles,305037,Resting,Inactive,Mieles_305037,train
burst_1,Mieles,305038,Resting,Inactive,Mieles_305038,train
burst_1,Mieles,305039,Eating,Active,Mieles_305039,train
burst_1,Mieles,305040,Eating,Active,Mieles_305040,test
burst_1,Mieles,305041,Eating,Active,Mieles_305041,test
burst_1,Mieles,306642,Walking,Active,Mieles_306642,train
burst_1,Mieles,306643,Remove,Remove,Mieles_306643,train
burst_1,Mieles,306644,Eating,Active,Mieles_306644,test
burst_1,Mieles,329811,Eating,Active,Mieles_329811,train
burst_1,Mieles,329812,Eating,Active,Mieles_329812,test
burst_1,Mieles,329813,Eating,Active,Mieles_329813,test
burst_1,Mieles,329814,Eating,Active,Mieles_329814,test
burst_1,Mieles,329815,Eating,Active,Mieles_329815,train
burst_1,Mieles,329816,Eating,Active,Mieles_329816,train
burst_1,Mieles,329817,Eating,Active,Mieles_329817,train
burst_1,Mieles,329818,Eating,Active,Mieles_329818,test
burst_1,Mieles,329819,Eating,Active,Mieles_329819,train
burst_1,Mieles,329820,Eating,Active,Mieles_329820,train
burst_1,Mieles,329821,Walking,Active,Mieles_329821,train
burst_1,Mieles,329822,Eating,Active,Mieles_329822,train
burst_1,Mieles,329823,Eating,Active,Mieles_329823,test
burst_1,Mieles,329824,Eating,Active,Mieles_329824,train
burst_1,Mieles,329825,Eating,Active,Mieles_329825,test
burst_1,Mieles,329826,Walking,Active,Mieles_329826,train
burst_1,Mieles,329827,Remove,Remove,Mieles_329827,train
burst_1,Mieles,329828,Self-scratching,Active,Mieles_329828,test
burst_1,Mieles,329829,Eating,Active,Mieles_329829,train
burst_1,Mieles,329830,Eating,Active,Mieles_329830,train
burst_1,Mieles,329879,Grooming actor,Active,Mieles_329879,train
burst_1,Mieles,329880,Grooming actor,Active,Mieles_329880,train
burst_1,Mieles,329881,Grooming actor,Active,Mieles_329881,test
burst_1,Mieles,329882,Remove,Remove,Mieles_329882,test
burst_1,Mieles,329883,Grooming actor,Active,Mieles_329883,train
burst_1,Mieles,329884,Grooming actor,Active,Mieles_329884,test
burst_1,Mieles,329885,Grooming receiver,Inactive,Mieles_329885,train
burst_1,Nakhu,87373,Walking,Active,Nakhu_87373,train
burst_1,Nakhu,87377,Resting,Inactive,Nakhu_87377,train
burst_1,Nakhu,87378,Eating,Active,Nakhu_87378,train
burst_1,Nakhu,87379,Eating,Active,Nakhu_87379,train
burst_1,Nakhu,87419,Eating,Active,Nakhu_87419,train
burst_1,Nakhu,87420,Eating,Active,Nakhu_87420,train
burst_1,Nakhu,87421,Eating,Active,Nakhu_87421,test
burst_1,Nakhu,87422,Eating,Active,Nakhu_87422,train
burst_1,Nakhu,87423,Eating,Active,Nakhu_87423,train
burst_1,Nakhu,151664,Resting,Inactive,Nakhu_151664,test
burst_1,Nakhu,151665,Resting,Inactive,Nakhu_151665,train
burst_1,Nakhu,151666,Resting,Inactive,Nakhu_151666,test
burst_1,Nakhu,151677,Sleeping,Inactive,Nakhu_151677,test
burst_1,Nakhu,151678,Sleeping,Inactive,Nakhu_151678,train
burst_1,Nakhu,151679,Sleeping,Inactive,Nakhu_151679,test
burst_1,Nakhu,151680,Resting,Inactive,Nakhu_151680,train
burst_1,Nakhu,151681,Sleeping,Inactive,Nakhu_151681,train
burst_1,Nakhu,151682,Resting,Inactive,Nakhu_151682,test
burst_1,Nakhu,151683,Sleeping,Inactive,Nakhu_151683,train
burst_1,Nakhu,151684,Sleeping,Inactive,Nakhu_151684,train
burst_1,Nakhu,151685,Resting,Inactive,Nakhu_151685,test
burst_1,Nakhu,151686,Resting,Inactive,Nakhu_151686,test
burst_1,Nakhu,160426,Eating,Active,Nakhu_160426,train
burst_1,Nakhu,160427,Walking,Active,Nakhu_160427,test
burst_1,Nakhu,160428,Eating,Active,Nakhu_160428,train
burst_1,Nakhu,160429,Remove,Remove,Nakhu_160429,train
burst_1,Nakhu,160430,Remove,Remove,Nakhu_160430,train
burst_1,Nakhu,160431,Walking,Active,Nakhu_160431,test
burst_1,Nakhu,160432,Resting,Inactive,Nakhu_160432,train
burst_1,Nakhu,160433,Walking,Active,Nakhu_160433,train
burst_1,Nakhu,160434,Resting,Inactive,Nakhu_160434,train
burst_1,Nakhu,209006,Resting,Inactive,Nakhu_209006,train
burst_1,Nakhu,209007,Remove,Remove,Nakhu_209007,train
burst_1,Nakhu,209008,Remove,Remove,Nakhu_209008,train
burst_1,Nakhu,209009,Remove,Remove,Nakhu_209009,train
burst_1,Nakhu,209010,Resting,Inactive,Nakhu_209010,train
burst_1,Nakhu,209011,Resting,Inactive,Nakhu_209011,train
burst_1,Nakhu,209012,Resting,Inactive,Nakhu_209012,test
burst_1,Nakhu,209013,Walking,Active,Nakhu_209013,train
burst_1,Nakhu,209014,Remove,Remove,Nakhu_209014,train
burst_1,Nakhu,209015,Eating,Active,Nakhu_209015,train
burst_1,Nakhu,209016,Resting,Inactive,Nakhu_209016,train
burst_1,Nakhu,209017,Remove,Remove,Nakhu_209017,train
burst_1,Nakhu,209018,Resting,Inactive,Nakhu_209018,train
burst_1,Nakhu,209062,Resting,Inactive,Nakhu_209062,test
burst_1,Nakhu,209063,Resting,Inactive,Nakhu_209063,train
burst_1,Nakhu,209064,Resting,Inactive,Nakhu_209064,train
burst_1,Nakhu,209065,Remove,Remove,Nakhu_209065,test
burst_1,Nakhu,209066,Remove,Remove,Nakhu_209066,train
burst_1,Nakhu,209067,Remove,Remove,Nakhu_209067,train
burst_1,Nakhu,209073,Remove,Remove,Nakhu_209073,test
burst_1,Nakhu,209074,Walking,Active,Nakhu_209074,train
burst_1,Nakhu,209075,Walking,Active,Nakhu_209075,train
burst_1,Nakhu,209076,Resting,Inactive,Nakhu_209076,train
burst_1,Nakhu,209077,Remove,Remove,Nakhu_209077,train
burst_1,Nakhu,217566,Remove,Remove,Nakhu_217566,train
burst_1,Nakhu,217567,Resting,Inactive,Nakhu_217567,train
burst_1,Nakhu,217568,Remove,Remove,Nakhu_217568,train
burst_1,Nakhu,217569,Walking,Active,Nakhu_217569,train
burst_1,Nakhu,217570,Remove,Remove,Nakhu_217570,test
burst_1,Nakhu,217571,Remove,Remove,Nakhu_217571,train
burst_1,Nakhu,217572,Remove,Remove,Nakhu_217572,train
burst_1,Nakhu,217573,Remove,Remove,Nakhu_217573,train
burst_1,Nakhu,217574,Remove,Remove,Nakhu_217574,test
burst_1,Nakhu,217575,Remove,Remove,Nakhu_217575,train
burst_1,Nakhu,217576,Remove,Remove,Nakhu_217576,test
burst_1,Nakhu,217577,Remove,Remove,Nakhu_217577,train
burst_1,Nakhu,217578,Remove,Remove,Nakhu_217578,test
burst_1,Nakhu,217579,Remove,Remove,Nakhu_217579,test
burst_1,Nakhu,217580,Remove,Remove,Nakhu_217580,train
burst_1,Nakhu,217581,Remove,Remove,Nakhu_217581,train
burst_1,Nakhu,217582,Remove,Remove,Nakhu_217582,train
burst_1,Nakhu,217583,Resting,Inactive,Nakhu_217583,train
burst_1,Nakhu,217584,Resting,Inactive,Nakhu_217584,train
burst_1,Nakhu,217585,Eating,Active,Nakhu_217585,train
burst_1,Nakhu,217586,Resting,Inactive,Nakhu_217586,train
burst_1,Nakhu,217588,Resting,Inactive,Nakhu_217588,train
burst_1,Nakhu,217589,Resting,Inactive,Nakhu_217589,train
burst_1,Nakhu,217590,Remove,Remove,Nakhu_217590,train
burst_1,Nakhu,217591,Remove,Remove,Nakhu_217591,test
burst_1,Nakhu,217592,Remove,Remove,Nakhu_217592,train
burst_1,Nakhu,217593,Remove,Remove,Nakhu_217593,train
burst_1,Nakhu,217594,Remove,Remove,Nakhu_217594,train
burst_1,Nakhu,307025,Resting,Inactive,Nakhu_307025,train
burst_1,Nakhu,307026,Resting,Inactive,Nakhu_307026,train
burst_1,Nakhu,307027,Resting,Inactive,Nakhu_307027,train
burst_1,Nakhu,307028,Resting,Inactive,Nakhu_307028,train
burst_1,Nakhu,307029,Resting,Inactive,Nakhu_307029,train
burst_1,Nakhu,307030,Walking,Active,Nakhu_307030,test
burst_1,Nakhu,307031,Remove,Remove,Nakhu_307031,train
burst_1,Nakhu,307032,Remove,Remove,Nakhu_307032,train
burst_1,Nakhu,307033,Remove,Remove,Nakhu_307033,train
burst_1,Nakhu,307034,Remove,Remove,Nakhu_307034,test
burst_1,Nakhu,307035,Remove,Remove,Nakhu_307035,train
burst_1,Nakhu,307036,Remove,Remove,Nakhu_307036,train
burst_1,Nakhu,307037,Remove,Remove,Nakhu_307037,test
burst_1,Nakhu,307038,Remove,Remove,Nakhu_307038,test
burst_1,Nakhu,307039,Remove,Remove,Nakhu_307039,train
burst_1,Nakhu,307040,Remove,Remove,Nakhu_307040,train
burst_1,Nakhu,307041,Remove,Remove,Nakhu_307041,test
burst_1,Nakhu,307042,Remove,Remove,Nakhu_307042,train
burst_1,Nakhu,307043,Remove,Remove,Nakhu_307043,train
burst_1,Nakhu,307044,Remove,Remove,Nakhu_307044,train
