burst,Ind_ID,new_burst,attribution_merged,activity,id
burst_1,Furry Glen,91975,Eating,Active,Furry Glen_91975
burst_1,Furry Glen,91976,Walking,Active,Furry Glen_91976
burst_1,Furry Glen,91977,Eating,Active,Furry Glen_91977
burst_1,Furry Glen,92042,Remove,Remove,Furry Glen_92042
burst_1,Furry Glen,92043,Walking,Active,Furry Glen_92043
burst_1,Furry Glen,96704,Resting,Inactive,Furry Glen_96704
burst_1,Furry Glen,96705,Resting,Inactive,Furry Glen_96705
burst_1,Furry Glen,96706,Resting,Inactive,Furry Glen_96706
burst_1,Furry Glen,96707,Resting,Inactive,Furry Glen_96707
burst_1,Furry Glen,96708,Remove,Remove,Furry Glen_96708
burst_1,Furry Glen,96709,Walking,Active,Furry Glen_96709
burst_1,Furry Glen,96710,Eating,Active,Furry Glen_96710
burst_1,Furry Glen,301016,Grooming receiver,Inactive,Furry Glen_301016
burst_1,Furry Glen,301017,Grooming receiver,Inactive,Furry Glen_301017
burst_1,Furry Glen,301018,Grooming actor,Active,Furry Glen_301018
burst_1,Furry Glen,301019,Grooming actor,Active,Furry Glen_301019
burst_1,Furry Glen,301020,Grooming actor,Active,Furry Glen_301020
burst_1,Furry Glen,301021,Grooming receiver,Inactive,Furry Glen_301021
burst_1,Furry Glen,301022,Grooming receiver,Inactive,Furry Glen_301022
burst_1,Furry Glen,301023,Grooming actor,Active,Furry Glen_301023
burst_1,Furry Glen,301024,Grooming actor,Active,Furry Glen_301024
burst_1,Furry Glen,301025,Grooming receiver,Inactive,Furry Glen_301025
burst_1,Furry Glen,301026,Grooming receiver,Inactive,Furry Glen_301026
burst_1,Furry Glen,301027,Grooming actor,Active,Furry Glen_301027
burst_1,Furry Glen,301028,Grooming actor,Active,Furry Glen_301028
burst_1,Furry Glen,301030,Grooming actor,Active,Furry Glen_301030
burst_1,Furry Glen,301031,Grooming receiver,Inactive,Furry Glen_301031
burst_1,Furry Glen,301032,Grooming receiver,Inactive,Furry Glen_301032
burst_1,Furry Glen,301033,Grooming actor,Active,Furry Glen_301033
burst_1,Furry Glen,301034,Grooming actor,Active,Furry Glen_301034
burst_1,Furry Glen,301035,Remove,Remove,Furry Glen_301035
burst_1,Furry Glen,301734,Eating,Active,Furry Glen_301734
burst_1,Furry Glen,301735,Eating,Active,Furry Glen_301735
burst_1,Furry Glen,301736,Eating,Active,Furry Glen_301736
burst_1,Furry Glen,301737,Eating,Active,Furry Glen_301737
burst_1,Furry Glen,301738,Eating,Active,Furry Glen_301738
burst_1,Furry Glen,301739,Eating,Active,Furry Glen_301739
burst_1,Furry Glen,301740,Eating,Active,Furry Glen_301740
burst_1,Furry Glen,301741,Eating,Active,Furry Glen_301741
burst_1,Furry Glen,301742,Eating,Active,Furry Glen_301742
burst_1,Furry Glen,301743,Eating,Active,Furry Glen_301743
burst_1,Furry Glen,301744,Eating,Active,Furry Glen_301744
burst_1,Furry Glen,301745,Eating,Active,Furry Glen_301745
burst_1,Furry Glen,301746,Eating,Active,Furry Glen_301746
burst_1,Furry Glen,301747,Eating,Active,Furry Glen_301747
burst_1,Furry Glen,301748,Eating,Active,Furry Glen_301748
burst_1,Furry Glen,301749,Resting,Inactive,Furry Glen_301749
burst_1,Furry Glen,301750,Walking,Active,Furry Glen_301750
burst_1,Furry Glen,301751,Resting,Inactive,Furry Glen_301751
burst_1,Furry Glen,301752,Resting,Inactive,Furry Glen_301752
burst_1,Furry Glen,301753,Remove,Remove,Furry Glen_301753
burst_1,Furry Glen,301754,Resting,Inactive,Furry Glen_301754
burst_1,Furry Glen,301888,Eating,Active,Furry Glen_301888
burst_1,Furry Glen,301889,Resting,Inactive,Furry Glen_301889
burst_1,Furry Glen,301890,Resting,Inactive,Furry Glen_301890
burst_1,Furry Glen,301891,Resting,Inactive,Furry Glen_301891
burst_1,Furry Glen,377535,Grooming receiver,Inactive,Furry Glen_377535
burst_1,Furry Glen,377536,Self-scratching,Active,Furry Glen_377536
burst_1,Furry Glen,377537,Walking,Active,Furry Glen_377537
burst_1,Furry Glen,377538,Resting,Inactive,Furry Glen_377538
burst_1,Furry Glen,377539,Resting,Inactive,Furry Glen_377539
burst_1,Furry Glen,377540,Resting,Inactive,Furry Glen_377540
burst_1,Furry Glen,377541,Resting,Inactive,Furry Glen_377541
burst_1,Furry Glen,377542,Resting,Inactive,Furry Glen_377542
burst_1,Furry Glen,377543,Resting,Inactive,Furry Glen_377543
burst_1,Furry Glen,377544,Resting,Inactive,Furry Glen_377544
burst_1,Furry Glen,377545,Resting,Inactive,Furry Glen_377545
burst_1,Furry Glen,377546,Resting,Inactive,Furry Glen_377546
burst_1,Furry Glen,377547,Resting,Inactive,Furry Glen_377547
burst_1,Furry Glen,377548,Resting,Inactive,Furry Glen_377548
burst_1,Furry Glen,377549,Resting,Inactive,Furry Glen_377549
burst_1,Furry Glen,377550,Resting,Inactive,Furry Glen_377550
burst_1,Furry Glen,377551,Resting,Inactive,Furry Glen_377551
burst_1,Heelal,94011,Resting,Inactive,Heelal_94011
burst_1,Heelal,158363,Sleeping,Inactive,Heelal_158363
burst_1,Heelal,158364,Sleeping,Inactive,Heelal_158364
burst_1,Heelal,158365,Resting,Inactive,Heelal_158365
burst_1,Heelal,158366,Resting,Inactive,Heelal_158366
burst_1,Heelal,158367,Sleeping,Inactive,Heelal_158367
burst_1,Heelal,158368,Resting,Inactive,Heelal_158368
burst_1,Kommunis,214587,Walking,Active,Kommunis_214587
burst_1,Kommunis,214588,Eating,Active,Kommunis_214588
burst_1,Kommunis,214589,Eating,Active,Kommunis_214589
burst_1,Kommunis,214590,Resting,Inactive,Kommunis_214590
burst_1,Kommunis,214591,Resting,Inactive,Kommunis_214591
burst_1,Kommunis,214592,Resting,Inactive,Kommunis_214592
burst_1,Kommunis,214593,Eating,Active,Kommunis_214593
burst_1,Kommunis,214594,Eating,Active,Kommunis_214594
burst_1,Kommunis,214603,Eating,Active,Kommunis_214603
burst_1,Kommunis,214604,Eating,Active,Kommunis_214604
burst_1,Kommunis,214605,Eating,Active,Kommunis_214605
burst_1,Kommunis,214606,Eating,Active,Kommunis_214606
burst_1,Kommunis,214607,Resting,Inactive,Kommunis_214607
burst_1,Kommunis,306760,Resting,Inactive,Kommunis_306760
burst_1,Kommunis,306761,Resting,Inactive,Kommunis_306761
burst_1,Kommunis,306762,Eating,Active,Kommunis_306762
burst_1,Kommunis,306763,Resting,Inactive,Kommunis_306763
burst_1,Kommunis,306764,Remove,Remove,Kommunis_306764
burst_1,Kommunis,306765,Remove,Remove,Kommunis_306765
burst_1,Kommunis,306766,Remove,Remove,Kommunis_306766
burst_1,Kommunis,306767,Eating,Active,Kommunis_306767
burst_1,Kommunis,306768,Eating,Active,Kommunis_306768
burst_1,Kommunis,306769,Eating,Active,Kommunis_306769
burst_1,Kommunis,306770,Remove,Remove,Kommunis_306770
burst_1,Kommunis,306771,Remove,Remove,Kommunis_306771
burst_1,Kommunis,306772,Remove,Remove,Kommunis_306772
burst_1,Kommunis,306773,Remove,Remove,Kommunis_306773
burst_1,Mieles,289538,Grooming receiver,Inactive,Mieles_289538
burst_1,Mieles,289539,Grooming actor,Active,Mieles_289539
burst_1,Mieles,289540,Remove,Remove,Mieles_289540
burst_1,Mieles,289541,Remove,Remove,Mieles_289541
burst_1,Mieles,289542,Remove,Remove,Mieles_289542
burst_1,Mieles,289543,Remove,Remove,Mieles_289543
burst_1,Mieles,289544,Remove,Remove,Mieles_289544
burst_1,Mieles,289545,Grooming actor,Active,Mieles_289545
burst_1,Mieles,297102,Eating,Active,Mieles_297102
burst_1,Mieles,299142,Grooming actor,Active,Mieles_299142
burst_1,Mieles,299143,Grooming receiver,Inactive,Mieles_299143
burst_1,Mieles,299144,Grooming receiver,Inactive,Mieles_299144
burst_1,Mieles,299145,Remove,Remove,Mieles_299145
burst_1,Mieles,299146,Remove,Remove,Mieles_299146
burst_1,Mieles,299147,Resting,Inactive,Mieles_299147
burst_1,Mieles,299148,Remove,Remove,Mieles_299148
burst_1,Mieles,299149,Grooming receiver,Inactive,Mieles_299149
burst_1,Mieles,299150,Grooming receiver,Inactive,Mieles_299150
burst_1,Mieles,299151,Grooming actor,Active,Mieles_299151
burst_1,Mieles,299152,Grooming actor,Active,Mieles_299152
burst_1,Mieles,299153,Grooming receiver,Inactive,Mieles_299153
burst_1,Mieles,299154,Grooming receiver,Inactive,Mieles_299154
burst_1,Mieles,299155,Grooming receiver,Inactive,Mieles_299155
burst_1,Mieles,299156,Grooming receiver,Inactive,Mieles_299156
burst_1,Mieles,299157,Grooming receiver,Inactive,Mieles_299157
burst_1,Mieles,299158,Grooming actor,Active,Mieles_299158
burst_1,Mieles,299159,Grooming actor,Active,Mieles_299159
burst_1,Mieles,299160,Grooming actor,Active,Mieles_299160
burst_1,Mieles,300110,Grooming actor,Active,Mieles_300110
burst_1,Mieles,300111,Grooming actor,Active,Mieles_300111
burst_1,Mieles,300112,Grooming actor,Active,Mieles_300112
burst_1,Mieles,300113,Grooming receiver,Inactive,Mieles_300113
burst_1,Mieles,300114,Grooming actor,Active,Mieles_300114
burst_1,Mieles,300115,Grooming receiver,Inactive,Mieles_300115
burst_1,Mieles,300116,Grooming receiver,Inactive,Mieles_300116
burst_1,Mieles,300117,Grooming receiver,Inactive,Mieles_300117
burst_1,Mieles,300118,Remove,Remove,Mieles_300118
burst_1,Mieles,300119,Remove,Remove,Mieles_300119
burst_1,Mieles,300120,Remove,Remove,Mieles_300120
burst_1,Mieles,300121,Remove,Remove,Mieles_300121
burst_1,Mieles,300122,Remove,Remove,Mieles_300122
burst_1,Mieles,300123,Remove,Remove,Mieles_300123
burst_1,Mieles,300124,Grooming actor,Active,Mieles_300124
burst_1,Mieles,300125,Grooming actor,Active,Mieles_300125
burst_1,Mieles,300126,Grooming actor,Active,Mieles_300126
burst_1,Mieles,300127,Resting,Inactive,Mieles_300127
burst_1,Mieles,300128,Grooming actor,Active,Mieles_300128
burst_1,Mieles,300129,Grooming actor,Active,Mieles_300129
burst_1,Mieles,300130,Remove,Remove,Mieles_300130
burst_1,Mieles,300131,Grooming receiver,Inactive,Mieles_300131
burst_1,Mieles,300132,Resting,Inactive,Mieles_300132
burst_1,Mieles,300133,Remove,Remove,Mieles_300133
burst_1,Mieles,300134,Remove,Remove,Mieles_300134
burst_1,Mieles,300135,Remove,Remove,Mieles_300135
burst_1,Mieles,300136,Remove,Remove,Mieles_300136
burst_1,Mieles,300137,Remove,Remove,Mieles_300137
burst_1,Mieles,300138,Grooming actor,Active,Mieles_300138
burst_1,Mieles,300139,Grooming receiver,Inactive,Mieles_300139
burst_1,Mieles,300140,Grooming receiver,Inactive,Mieles_300140
burst_1,Mieles,300141,Grooming receiver,Inactive,Mieles_300141
burst_1,Mieles,305022,Grooming actor,Active,Mieles_305022
burst_1,Mieles,305023,Grooming actor,Active,Mieles_305023
burst_1,Mieles,305024,Grooming actor,Active,Mieles_305024
burst_1,Mieles,305025,Grooming actor,Active,Mieles_305025
burst_1,Mieles,305026,Resting,Inactive,Mieles_305026
burst_1,Mieles,305027,Resting,Inactive,Mieles_305027
burst_1,Mieles,305028,Grooming actor,Active,Mieles_305028
burst_1,Mieles,305029,Grooming actor,Active,Mieles_305029
burst_1,Mieles,305030,Grooming actor,Active,Mieles_305030
burst_1,Mieles,305031,Resting,Inactive,Mieles_305031
burst_1,Mieles,305032,Grooming receiver,Inactive,Mieles_305032
burst_1,Mieles,305033,Eating,Active,Mieles_305033
burst_1,Mieles,305034,Eating,Active,Mieles_305034
burst_1,Mieles,305035,Resting,Inactive,Mieles_305035
burst_1,Mieles,305036,Remove,Remove,Mieles_305036
burst_1,Mieles,305037,Resting,Inactive,Mieles_305037
burst_1,Mieles,305038,Resting,Inactive,Mieles_305038
burst_1,Mieles,305039,Eating,Active,Mieles_305039
burst_1,Mieles,305040,Eating,Active,Mieles_305040
burst_1,Mieles,305041,Eating,Active,Mieles_305041
burst_1,Mieles,306642,Walking,Active,Mieles_306642
burst_1,Mieles,306643,Remove,Remove,Mieles_306643
burst_1,Mieles,306644,Eating,Active,Mieles_306644
burst_1,Mieles,329811,Eating,Active,Mieles_329811
burst_1,Mieles,329812,Eating,Active,Mieles_329812
burst_1,Mieles,329813,Eating,Active,Mieles_329813
burst_1,Mieles,329814,Eating,Active,Mieles_329814
burst_1,Mieles,329815,Eating,Active,Mieles_329815
burst_1,Mieles,329816,Eating,Active,Mieles_329816
burst_1,Mieles,329817,Eating,Active,Mieles_329817
burst_1,Mieles,329818,Eating,Active,Mieles_329818
burst_1,Mieles,329819,Eating,Active,Mieles_329819
burst_1,Mieles,329820,Eating,Active,Mieles_329820
burst_1,Mieles,329821,Walking,Active,Mieles_329821
burst_1,Mieles,329822,Eating,Active,Mieles_329822
burst_1,Mieles,329823,Eating,Active,Mieles_329823
burst_1,Mieles,329824,Eating,Active,Mieles_329824
burst_1,Mieles,329825,Eating,Active,Mieles_329825
burst_1,Mieles,329826,Walking,Active,Mieles_329826
burst_1,Mieles,329827,Remove,Remove,Mieles_329827
burst_1,Mieles,329828,Self-scratching,Active,Mieles_329828
burst_1,Mieles,329829,Eating,Active,Mieles_329829
burst_1,Mieles,329830,Eating,Active,Mieles_329830
burst_1,Mieles,329879,Grooming actor,Active,Mieles_329879
burst_1,Mieles,329880,Grooming actor,Active,Mieles_329880
burst_1,Mieles,329881,Grooming actor,Active,Mieles_329881
burst_1,Mieles,329882,Remove,Remove,Mieles_329882
burst_1,Mieles,329883,Grooming actor,Active,Mieles_329883
burst_1,Mieles,329884,Grooming actor,Active,Mieles_329884
burst_1,Mieles,329885,Grooming receiver,Inactive,Mieles_329885
burst_1,Nakhu,87373,Walking,Active,Nakhu_87373
burst_1,Nakhu,87377,Resting,Inactive,Nakhu_87377
burst_1,Nakhu,87378,Eating,Active,Nakhu_87378
burst_1,Nakhu,87379,Eating,Active,Nakhu_87379
burst_1,Nakhu,87419,Eating,Active,Nakhu_87419
burst_1,Nakhu,87420,Eating,Active,Nakhu_87420
burst_1,Nakhu,87421,Eating,Active,Nakhu_87421
burst_1,Nakhu,87422,Eating,Active,Nakhu_87422
burst_1,Nakhu,87423,Eating,Active,Nakhu_87423
burst_1,Nakhu,151664,Resting,Inactive,Nakhu_151664
burst_1,Nakhu,151665,Resting,Inactive,Nakhu_151665
burst_1,Nakhu,151666,Resting,Inactive,Nakhu_151666
burst_1,Nakhu,151677,Sleeping,Inactive,Nakhu_151677
burst_1,Nakhu,151678,Sleeping,Inactive,Nakhu_151678
burst_1,Nakhu,151679,Sleeping,Inactive,Nakhu_151679
burst_1,Nakhu,151680,Resting,Inactive,Nakhu_151680
burst_1,Nakhu,151681,Sleeping,Inactive,Nakhu_151681
burst_1,Nakhu,151682,Resting,Inactive,Nakhu_151682
burst_1,Nakhu,151683,Sleeping,Inactive,Nakhu_151683
burst_1,Nakhu,151684,Sleeping,Inactive,Nakhu_151684
burst_1,Nakhu,151685,Resting,Inactive,Nakhu_151685
burst_1,Nakhu,151686,Resting,Inactive,Nakhu_151686
burst_1,Nakhu,160426,Eating,Active,Nakhu_160426
burst_1,Nakhu,160427,Walking,Active,Nakhu_160427
burst_1,Nakhu,160428,Eating,Active,Nakhu_160428
burst_1,Nakhu,160429,Remove,Remove,Nakhu_160429
burst_1,Nakhu,160430,Remove,Remove,Nakhu_160430
burst_1,Nakhu,160431,Walking,Active,Nakhu_160431
burst_1,Nakhu,160432,Resting,Inactive,Nakhu_160432
burst_1,Nakhu,160433,Walking,Active,Nakhu_160433
burst_1,Nakhu,160434,Resting,Inactive,Nakhu_160434
burst_1,Nakhu,209006,Resting,Inactive,Nakhu_209006
burst_1,Nakhu,209007,Remove,Remove,Nakhu_209007
burst_1,Nakhu,209008,Remove,Remove,Nakhu_209008
burst_1,Nakhu,209009,Remove,Remove,Nakhu_209009
burst_1,Nakhu,209010,Resting,Inactive,Nakhu_209010
burst_1,Nakhu,209011,Resting,Inactive,Nakhu_209011
burst_1,Nakhu,209012,Resting,Inactive,Nakhu_209012
burst_1,Nakhu,209013,Walking,Active,Nakhu_209013
burst_1,Nakhu,209014,Remove,Remove,Nakhu_209014
burst_1,Nakhu,209015,Eating,Active,Nakhu_209015
burst_1,Nakhu,209016,Resting,Inactive,Nakhu_209016
burst_1,Nakhu,209017,Remove,Remove,Nakhu_209017
burst_1,Nakhu,209018,Resting,Inactive,Nakhu_209018
burst_1,Nakhu,209062,Resting,Inactive,Nakhu_209062
burst_1,Nakhu,209063,Resting,Inactive,Nakhu_209063
burst_1,Nakhu,209064,Resting,Inactive,Nakhu_209064
burst_1,Nakhu,209065,Remove,Remove,Nakhu_209065
burst_1,Nakhu,209066,Remove,Remove,Nakhu_209066
burst_1,Nakhu,209067,Remove,Remove,Nakhu_209067
burst_1,Nakhu,209073,Remove,Remove,Nakhu_209073
burst_1,Nakhu,209074,Walking,Active,Nakhu_209074
burst_1,Nakhu,209075,Walking,Active,Nakhu_209075
burst_1,Nakhu,209076,Resting,Inactive,Nakhu_209076
burst_1,Nakhu,209077,Remove,Remove,Nakhu_209077
burst_1,Nakhu,217566,Remove,Remove,Nakhu_217566
burst_1,Nakhu,217567,Resting,Inactive,Nakhu_217567
burst_1,Nakhu,217568,Remove,Remove,Nakhu_217568
burst_1,Nakhu,217569,Walking,Active,Nakhu_217569
burst_1,Nakhu,217570,Remove,Remove,Nakhu_217570
burst_1,Nakhu,217571,Remove,Remove,Nakhu_217571
burst_1,Nakhu,217572,Remove,Remove,Nakhu_217572
burst_1,Nakhu,217573,Remove,Remove,Nakhu_217573
burst_1,Nakhu,217574,Remove,Remove,Nakhu_217574
burst_1,Nakhu,217575,Remove,Remove,Nakhu_217575
burst_1,Nakhu,217576,Remove,Remove,Nakhu_217576
burst_1,Nakhu,217577,Remove,Remove,Nakhu_217577
burst_1,Nakhu,217578,Remove,Remove,Nakhu_217578
burst_1,Nakhu,217579,Remove,Remove,Nakhu_217579
burst_1,Nakhu,217580,Remove,Remove,Nakhu_217580
burst_1,Nakhu,217581,Remove,Remove,Nakhu_217581
burst_1,Nakhu,217582,Remove,Remove,Nakhu_217582
burst_1,Nakhu,217583,Resting,Inactive,Nakhu_217583
burst_1,Nakhu,217584,Resting,Inactive,Nakhu_217584
burst_1,Nakhu,217585,Eating,Active,Nakhu_217585
burst_1,Nakhu,217586,Resting,Inactive,Nakhu_217586
burst_1,Nakhu,217588,Resting,Inactive,Nakhu_217588
burst_1,Nakhu,217589,Resting,Inactive,Nakhu_217589
burst_1,Nakhu,217590,Remove,Remove,Nakhu_217590
burst_1,Nakhu,217591,Remove,Remove,Nakhu_217591
burst_1,Nakhu,217592,Remove,Remove,Nakhu_217592
burst_1,Nakhu,217593,Remove,Remove,Nakhu_217593
burst_1,Nakhu,217594,Remove,Remove,Nakhu_217594
burst_1,Nakhu,307025,Resting,Inactive,Nakhu_307025
burst_1,Nakhu,307026,Resting,Inactive,Nakhu_307026
burst_1,Nakhu,307027,Resting,Inactive,Nakhu_307027
burst_1,Nakhu,307028,Resting,Inactive,Nakhu_307028
burst_1,Nakhu,307029,Resting,Inactive,Nakhu_307029
burst_1,Nakhu,307030,Walking,Active,Nakhu_307030
burst_1,Nakhu,307031,Remove,Remove,Nakhu_307031
burst_1,Nakhu,307032,Remove,Remove,Nakhu_307032
burst_1,Nakhu,307033,Remove,Remove,Nakhu_307033
burst_1,Nakhu,307034,Remove,Remove,Nakhu_307034
burst_1,Nakhu,307035,Remove,Remove,Nakhu_307035
burst_1,Nakhu,307036,Remove,Remove,Nakhu_307036
burst_1,Nakhu,307037,Remove,Remove,Nakhu_307037
burst_1,Nakhu,307038,Remove,Remove,Nakhu_307038
burst_1,Nakhu,307039,Remove,Remove,Nakhu_307039
burst_1,Nakhu,307040,Remove,Remove,Nakhu_307040
burst_1,Nakhu,307041,Remove,Remove,Nakhu_307041
burst_1,Nakhu,307042,Remove,Remove,Nakhu_307042
burst_1,Nakhu,307043,Remove,Remove,Nakhu_307043
burst_1,Nakhu,307044,Remove,Remove,Nakhu_307044
burst_1,Nakhu,307045,Remove,Remove,Nakhu_307045
burst_1,Nakhu,308145,Resting,Inactive,Nakhu_308145
burst_1,Nakhu,308146,Eating,Active,Nakhu_308146
burst_1,Nakhu,308147,Eating,Active,Nakhu_308147
burst_1,Nakhu,308148,Eating,Active,Nakhu_308148
burst_1,Nakhu,308149,Eating,Active,Nakhu_308149
burst_1,Nakhu,308150,Resting,Inactive,Nakhu_308150
burst_1,Nakhu,308151,Resting,Inactive,Nakhu_308151
burst_1,Nakhu,308152,Walking,Active,Nakhu_308152
burst_1,Nakhu,309689,Resting,Inactive,Nakhu_309689
burst_1,Nakhu,309690,Resting,Inactive,Nakhu_309690
burst_1,Nakhu,309691,Remove,Remove,Nakhu_309691
burst_1,Nakhu,309692,Walking,Active,Nakhu_309692
burst_1,Nakhu,309693,Eating,Active,Nakhu_309693
burst_1,Nakhu,309694,Remove,Remove,Nakhu_309694
burst_1,Nakhu,309695,Walking,Active,Nakhu_309695
burst_1,Nakhu,309696,Walking,Active,Nakhu_309696
burst_1,Nakhu,309697,Remove,Remove,Nakhu_309697
burst_1,Nakhu,309698,Eating,Active,Nakhu_309698
burst_1,Nakhu,309699,Eating,Active,Nakhu_309699
burst_1,Nakhu,309700,Eating,Active,Nakhu_309700
burst_1,Nakhu,309701,Resting,Inactive,Nakhu_309701
burst_1,Nakhu,309702,Eating,Active,Nakhu_309702
burst_1,Nakhu,309703,Eating,Active,Nakhu_309703
burst_1,Nakhu,309704,Walking,Active,Nakhu_309704
burst_1,Nakhu,309705,Remove,Remove,Nakhu_309705
burst_1,Nakhu,309706,Walking,Active,Nakhu_309706
